# E(eV),Radius(Rp),Tau
1.988640706702940406e+03,2.188546521420361328e+10,1.541349161953428857e-06
1.988640706702940406e+03,2.231305172531076431e+10,1.419840013940407247e-06
1.988640706702940406e+03,2.274063823641791916e+10,1.310783822793918247e-06
1.988640706702940406e+03,2.316822474752507019e+10,1.212289602553070583e-06
1.988640706702940406e+03,2.359581125863221741e+10,1.119613395092458766e-06
1.988640706702940406e+03,2.402339776973937225e+10,1.038403145312457703e-06
1.988640706702940406e+03,2.445098428084652710e+10,9.642407056775162173e-07
1.988640706702940406e+03,2.487857079195367432e+10,8.924965125252196976e-07
1.988640706702940406e+03,2.530615730306082535e+10,8.309845168004221177e-07
1.988640706702940406e+03,2.573374381416798019e+10,7.719428624998849855e-07
1.988640706702940406e+03,2.616133032527513123e+10,7.179078909511845122e-07
1.988640706702940406e+03,2.658891683638228226e+10,6.699319579906831931e-07
1.988640706702940406e+03,2.701650334748943329e+10,6.223460045557578722e-07
1.988640706702940406e+03,2.744408985859658432e+10,5.826242221338346213e-07
1.988640706702940406e+03,2.787167636970373917e+10,5.424414488403328012e-07
1.988640706702940406e+03,2.829926288081089020e+10,5.076511727147681562e-07
1.988640706702940406e+03,2.872684939191804123e+10,4.752560202487238107e-07
1.988640706702940406e+03,2.915443590302519226e+10,4.437287947476170439e-07
1.988640706702940406e+03,2.958202241413234711e+10,4.141742249564030379e-07
1.988640706702940406e+03,3.000960892523949814e+10,3.888770768274010593e-07
1.988640706702940406e+03,3.043719543634664536e+10,3.653502003645417088e-07
1.988640706702940406e+03,3.086478194745380020e+10,3.416107945241876311e-07
1.988640706702940406e+03,3.129236845856095505e+10,3.195821938647068931e-07
1.988640706702940406e+03,3.171995496966810226e+10,3.008182609123434798e-07
1.988640706702940406e+03,3.214754148077525330e+10,2.807153846294688548e-07
1.988640706702940406e+03,3.257512799188240814e+10,2.639032895022167336e-07
1.988640706702940406e+03,3.300271450298955917e+10,2.479076229741068457e-07
1.988640706702940406e+03,3.343030101409671402e+10,2.314237200353462729e-07
1.988640706702940406e+03,3.385788752520386124e+10,2.185581526678674657e-07
1.988640706702940406e+03,3.428547403631101227e+10,2.044515174761567968e-07
